City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Hobyo,SO,84.36,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
490,Benguela,AO,82.65,broken clouds,-12.5763,13.4055,Hotel Praia Morena
497,Labuhan,ID,76.3,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
503,Tingo Maria,PE,75.2,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
504,Chitrakonda,IN,78.93,scattered clouds,18.1167,82.0833,Government girls hostel
505,Pathein,MM,79.41,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
506,Namibe,AO,82.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
511,Chodavaram,IN,84.2,mist,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
512,Marang,MY,80.6,few clouds,5.2056,103.2059,DBarakah Homestay
513,Ecatepec,MX,77.0,scattered clouds,19.6011,-99.0525,Hotel Ecatepec
518,Kottagudem,IN,86.25,scattered clouds,17.55,80.6333,Hotel Surya Palace
525,Pandan,PH,77.5,moderate rain,14.0453,124.1694,Bonifacio Lodge
532,Laguna De Perlas,NI,77.0,scattered clouds,12.3429,-83.6712,Hotel Best View
535,Santa Cruz,BO,84.2,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
540,Angra Dos Reis,BR,77.0,scattered clouds,-23.0067,-44.3181,Mercure Angra dos Reis
541,Iralaya,HN,89.6,broken clouds,15.0,-83.2333,Iglesia morava renovada
543,Harper,LR,84.74,broken clouds,4.375,-7.7169,Screensaver
548,Jutai,BR,77.56,overcast clouds,-5.1833,-68.9,
549,Bubaque,GW,79.29,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
552,Samarai,PG,82.24,broken clouds,-10.6167,150.6667,Nuli Sapi
557,Muscat,OM,86.0,clear sky,23.6139,58.5922,Mutrah Hotel
559,Lumding,IN,75.24,scattered clouds,25.7535,93.1732,Hotel Nilamber
563,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
565,Villamontes,BO,87.8,broken clouds,-21.25,-63.5,Hotel Raldes
567,Guatire,VE,86.0,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
576,San Jose De Rio Tinto,HN,87.8,broken clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
579,Bateria,PH,79.23,overcast clouds,11.1416,124.0267,Virgin Beach Resort
580,Wewak,PG,78.21,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
582,Canyon Lake,US,75.99,clear sky,29.8752,-98.2625,The Lodge At Turkey Cove
586,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
589,Aripuana,BR,87.57,scattered clouds,-9.1667,-60.6333,
590,Inga,BR,86.0,scattered clouds,-7.2808,-35.6044,Pousada Itacoatiara
591,Mumford,GH,84.02,broken clouds,5.2618,-0.759,Spanish Villa
592,Manadhoo,MV,83.59,broken clouds,5.7667,73.3833,Vevu Guesthouse
594,Mahibadhoo,MV,83.26,broken clouds,3.7833,72.9667,Omadhoo Inn
596,Baracoa,CU,86.9,clear sky,20.3467,-74.4958,Hostal Rio Miel
599,Daru,PG,78.17,overcast clouds,-9.0763,143.2092,Daru Lodge
604,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
607,Manado,ID,77.0,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
608,Bhitarwar,IN,87.82,overcast clouds,25.8,78.1167,H.G.Batham Home
611,Junin,AR,76.75,clear sky,-34.5838,-60.9433,Hotel Copahue
615,Qui Nhon,VN,77.41,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
616,Cartagena,CO,86.0,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
618,Parrita,CR,80.6,broken clouds,9.5201,-84.3225,Beso del Viento
620,Santarem,BR,77.0,light rain,-2.4431,-54.7083,Ecotur Lodge
621,Kishorganj,BD,81.73,clear sky,24.4333,90.7667,হুসাইন সেবা হোটেল
628,Sao Joao Da Barra,BR,84.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
631,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
635,Omboue,GA,81.91,overcast clouds,-1.5746,9.2618,Hotel Olako
639,Alyangula,AU,77.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
640,Tabou,CI,84.92,broken clouds,4.423,-7.3528,hotêl doufoulougou
643,Jibuti,DJ,82.4,clear sky,11.5,42.5,Orchid Main Camp Goubet
644,Gaya,IN,82.4,haze,24.7833,85.0,Hotel Kumar Kripa
645,Mindelo,CV,75.2,broken clouds,16.8901,-24.9804,Hotel Gaudi
646,Semnan,IR,75.92,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
647,Bella Union,UY,81.99,clear sky,-30.2752,-57.6007,Hotel Oriente
650,Merauke,ID,80.28,overcast clouds,-8.4667,140.3333,
651,Martapura,ID,75.2,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
654,El Alto,PE,89.6,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
659,Marawi,PH,77.0,overcast clouds,7.9986,124.2928,Derogongan Residence
661,Dhrangadhra,IN,85.93,overcast clouds,22.9833,71.4667,Rutu raj garden
667,Dawei,MM,78.24,scattered clouds,14.0833,98.2,Hotel Dawei
668,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
674,Tiarei,PF,78.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
675,Majene,ID,78.19,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
679,Itamaraca,BR,82.4,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
680,Auki,SB,77.95,broken clouds,-8.7676,160.7034,Auki Motel
682,Humaita,BR,88.93,broken clouds,-7.5061,-63.0208,Corrêa Hotel
684,Kieta,PG,79.93,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
685,Kabin Buri,TH,81.9,broken clouds,13.9511,101.7177,At Home Kabinburi
688,Mehndawal,IN,89.8,broken clouds,26.9753,83.1117,Sarvendra rammurat vishwakarma sadan
689,San Andres,CO,86.0,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
693,Loandjili,CG,82.4,few clouds,-4.7561,11.8578,Résidence ARCHANGE
697,Norsup,VU,80.4,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
698,Nakhon Nayok,TH,87.01,scattered clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
700,Sarangani,PH,82.62,overcast clouds,5.4033,125.4636,Ballistic Islet
