City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bengkulu,ID,-3.8004,102.2655,76.26,89,100,4.27,overcast clouds
80,Kavieng,PG,-2.5744,150.7967,82.33,73,100,5.01,overcast clouds
81,Souillac,MU,-20.5167,57.5167,78.8,89,75,6.62,broken clouds
82,Chuy,UY,-33.6971,-53.4616,71.15,65,40,14.12,scattered clouds
83,Syracuse,IT,37.0881,15.2792,60.8,67,75,2.3,broken clouds
84,Ribeira Grande,PT,38.5167,-28.7,66.2,82,40,16.11,scattered clouds
85,Chippewa Falls,US,44.9369,-91.3929,42.01,30,90,3.44,overcast clouds
86,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,75,6.44,broken clouds
87,Castro,BR,-24.7911,-50.0119,70.65,50,31,4.92,scattered clouds
88,Dali,CN,25.7,100.1833,53.46,57,0,5.95,clear sky
89,Provideniya,RU,64.3833,-173.3,20.53,59,13,3.53,few clouds
90,Muisne,EC,0.6,-80.0333,37.4,100,75,6.91,broken clouds
91,Udachnyy,RU,66.4167,112.4,-4.29,98,81,2.68,broken clouds
92,Lamu,KE,-2.2717,40.902,80.69,81,96,16.89,light rain
93,Naze,JP,28.3667,129.4833,63.46,63,68,11.18,broken clouds
94,Axim,GH,4.8699,-2.2405,84.4,71,71,10.22,broken clouds
95,Peace River,CA,56.2501,-117.286,46.4,42,20,9.22,few clouds
96,Tadine,NC,-21.55,167.8833,73.18,78,57,9.51,broken clouds
97,Busselton,AU,-33.65,115.3333,50.0,93,13,11.23,few clouds
98,Seddon,AU,-37.8068,144.8916,52.0,87,90,1.14,overcast clouds
99,Dongfeng,CN,42.6403,125.5118,50.52,35,20,4.27,few clouds
100,Redmond,US,47.674,-122.1215,62.01,55,3,2.75,clear sky
101,Karratha,AU,-20.7377,116.8463,75.78,57,1,11.32,clear sky
102,Aloleng,PH,16.1307,119.7824,81.63,75,100,5.19,overcast clouds
103,Anloga,GH,5.7947,0.8973,86.0,79,20,11.5,few clouds
104,Benghazi,LY,32.1167,20.0667,61.77,60,0,11.86,clear sky
105,Bethel,US,41.3712,-73.414,71.6,30,1,17.27,clear sky
106,Hampton,US,37.0299,-76.3452,72.0,46,40,10.36,scattered clouds
